name,mega_stone_for,fling_bp,description
Abomasite,,80,"If held by an Abomasnow, this item allows it to Mega Evolve in battle."
Absolite,,80,"If held by an Absol, this item allows it to Mega Evolve into Mega Absol in battle."
Aerodactylite,,80,"If held by an Aerodactyl, this item allows it to Mega Evolve in battle."
Aggronite,,80,"If held by an Aggron, this item allows it to Mega Evolve in battle."
Alakazite,,80,"If held by an Alakazam, this item allows it to Mega Evolve in battle."
Altarianite,,80,"If held by an Altaria, this item allows it to Mega Evolve in battle."
Ampharosite,,80,"If held by an Ampharos, this item allows it to Mega Evolve in battle."
Audinite,,80,"If held by an Audino, this item allows it to Mega Evolve in battle."
Banettite,,80,"If held by a Banette, this item allows it to Mega Evolve in battle."
Barbaracite,,80,"If held by a Barbaracle, this item allows it to Mega Evolve in battle."
Beedrillite,,80,"If held by a Beedrill, this item allows it to Mega Evolve in battle."
Blastoisinite,,80,"If held by a Blastoise, this item allows it to Mega Evolve in battle."
Blazikenite,,80,"If held by a Blaziken, this item allows it to Mega Evolve in battle."
Cameruptite,,80,"If held by a Camerupt, this item allows it to Mega Evolve in battle."
Chandelurite,,80,"If held by a Chandelure, this item allows it to Mega Evolve in battle."
Charizardite X,,80,"If held by a Charizard, this item allows it to Mega Evolve into Mega Charizard X."
Charizardite Y,,80,"If held by a Charizard, this item allows it to Mega Evolve into Mega Charizard Y."
Chesnaughtite,,80,"If held by a Chesnaught, this item allows it to Mega Evolve in battle."
Chimechite,,80,"If held by a Chimecho, this item allows it to Mega Evolve in battle."
Clefablite,,80,"If held by a Clefable, this item allows it to Mega Evolve in battle."
Crabominite,,80,"If held by a Crabominable, this item allows it to Mega Evolve in battle."
Delphoxite,,80,"If held by a Delphox, this item allows it to Mega Evolve in battle."
Dragalgite,,80,"If held by a Dragalge, this item allows it to Mega Evolve in battle."
Dragoninite,,80,"If held by a Dragonite, this item allows it to Mega Evolve in battle."
Drampanite,,80,"If held by a Drampa, this item allows it to Mega Evolve in battle."
Eelektrossite,,80,"If held by an Eelektross, this item allows it to Mega Evolve in battle."
Emboarite,,80,"If held by an Emboar, this item allows it to Mega Evolve in battle."
Excadrite,,80,"If held by an Excadrill, this item allows it to Mega Evolve in battle."
Falinksite,,80,"If held by a Falinks, this item allows it to Mega Evolve in battle."
Feraligite,,80,"If held by a Feraligatr, this item allows it to Mega Evolve in battle."
Floettite,,80,"If held by an Eternal Flower Floette, this item allows it to Mega Evolve in battle."
Froslassite,,80,"If held by a Froslass, this item allows it to Mega Evolve in battle."
Galladite,,80,"If held by a Gallade, this item allows it to Mega Evolve in battle."
Garchompite,,80,"If held by a Garchomp, this item allows it to Mega Evolve into Mega Garchomp."
Gardevoirite,,80,"If held by a Gardevoir, this item allows it to Mega Evolve in battle."
Gengarite,,80,"If held by a Gengar, this item allows it to Mega Evolve in battle."
Glalitite,,80,"If held by a Glalie, this item allows it to Mega Evolve in battle."
Glimmoranite,,80,"If held by a Glimmora, this item allows it to Mega Evolve in battle."
Golurkite,,80,"If held by a Golurk, this item allows it to Mega Evolve in battle."
