2026-09-03T19:16:23.931Z,battle-gen9championsvgc2026regmb-2675131964,technoteapot,1070,0,Oranguru+Avalugg+Camerupt+Torkoal,Farigiraf+Milotic+Sinistcha+Kingambit+Drampa+Azumarill
2026-09-03T19:20:04.996Z,battle-gen9championsvgc2026regmb-2675136070,Guest 515556,1000,0,Oranguru+Avalugg+Camerupt+Torkoal,
2026-09-03T19:30:46.882Z,winkado,battle-gen9championsvgc2026regmb-2675142030,apagun,1037,1,Oranguru+Avalugg+Camerupt+Torkoal,Pangoro+Mr. Rime+Wyrdeer+Empoleon+Infernape+Roserade
2026-09-03T19:34:35.505Z,winkado,battle-gen9championsvgc2026regmb-2675142013-6saxprdiu0492ln5vw9acnx9lc9anpkpw,fghfdhdfghdf,1046,0,Oranguru+Avalugg+Camerupt+Torkoal,Houndoom+Torkoal+Venusaur+Annihilape+Aerodactyl+Garchomp
2026-09-03T19:37:14.223Z,winkado,battle-gen9championsvgc2026regmb-2675142002,Arcolulz,1112,0,Oranguru+Avalugg+Camerupt+Torkoal,Scizor+Tyranitar+Slowbro+Ampharos+Excadrill+Torkoal
2026-09-03T19:39:53.634Z,winkado,battle-gen9championsvgc2026regmb-2675143087-767ab44x84633vbra86do8e76rhake7pw,opaoba,1096,0,Oranguru+Avalugg+Camerupt+Torkoal,Garchomp+Raichu+Gholdengo+Staraptor+Toxapex+Blaziken
2026-09-03T19:46:35.501Z,winkado,battle-gen9championsvgc2026regmb-2675149922,daedra24,1000,0,Oranguru+Avalugg+Camerupt+Torkoal,Aromatisse+Blastoise+Slowbro+Kingambit+Sinistcha-Masterpiece+Overqwil
2026-09-03T19:47:59.336Z,winkado,battle-gen9championsvgc2026regmb-2675149891,mamvaza,1097,1,Oranguru+Avalugg+Camerupt+Torkoal,Froslass+Weavile+Avalugg+Mamoswine+Ninetales-Alola+Beartic
2026-09-03T19:48:17.734Z,winkado,battle-gen9championsvgc2026regmb-2675149844,usisjw,1000,0,Oranguru+Avalugg+Camerupt+Torkoal,Excadrill+Tyranitar+Garchomp+Charizard+Staraptor+Venusaur
2026-09-03T19:50:51.176Z,winkado,battle-gen9championsvgc2026regmb-2675151759,heroofbacum,1118,1,Oranguru+Avalugg+Camerupt+Torkoal,Manectric+Rotom-Wash+Weavile+Tauros-Paldea-Blaze+Sceptile+Corviknight
2026-09-03T19:50:56.046Z,winkado,battle-gen9championsvgc2026regmb-2675150938,eusoufoda12,1099,1,Oranguru+Avalugg+Camerupt+Torkoal,Raichu+Jolteon+Morpeko+Bellibolt+Luxray+Heliolisk
2026-09-03T19:51:10.912Z,winkado,battle-gen9championsvgc2026regmb-2675151635,McFunky,1116,0,Oranguru+Sinistcha+Camerupt+Torkoal,Hatterene+Golurk+Incineroar+Farigiraf+Blastoise+Sinistcha
